Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
84,0.984366,0.975560,0.974819,0.984701,0.993747,3.109061,3.109061,0.800871,0.983746,0.993015,0.996104,97.394202,
85,0.970041,0.952234,0.952804,0.970680,0.988196,3.172225,3.172225,0.767286,0.972306,0.986846,0.992236,93.711933,
86,0.972281,0.953314,0.956480,0.973092,0.989811,3.234686,3.234686,0.768249,0.974928,0.988533,0.993763,94.486649,
87,0.971329,0.955856,0.953584,0.972166,0.988232,3.296175,3.296175,0.765797,0.971874,0.986985,0.992717,94.192269,
88,0.985917,0.977604,0.975702,0.985751,0.995976,3.354283,3.354283,0.800778,0.984537,0.993172,0.996328,98.076700,
89,0.972849,0.959008,0.954649,0.972641,0.989973,3.411265,3.411265,0.765746,0.972002,0.987313,0.992902,94.698685,
90,0.973074,0.957609,0.955925,0.974115,0.989545,3.469047,3.469047,0.767284,0.974521,0.988473,0.993593,94.938322,
91,0.971483,0.958364,0.953221,0.972098,0.987637,3.525635,3.525635,0.764442,0.972275,0.987366,0.993016,94.558448,
92,0.984543,0.977622,0.974222,0.983666,0.994268,3.584121,3.584121,0.797293,0.984089,0.992982,0.996038,98.035201,
93,0.972571,0.959988,0.953815,0.973337,0.988773,3.639554,3.639554,0.758634,0.972353,0.987520,0.993124,94.953897,
94,0.971263,0.956005,0.953682,0.972752,0.987112,3.705149,3.705149,0.748859,0.968877,0.985947,0.992575,94.622330,
95,0.982955,0.971428,0.970782,0.983863,0.994417,3.776390,3.776390,0.775376,0.979645,0.991396,0.995449,97.785905,
96,0.970946,0.953476,0.953301,0.973596,0.987192,3.849728,3.849728,0.750141,0.971142,0.987222,0.993132,94.845457,
97,0.970433,0.951287,0.950727,0.970571,0.989648,3.916843,3.916843,0.741785,0.967260,0.985169,0.991802,94.603499,
98,0.982370,0.970434,0.971215,0.983071,0.993730,3.984179,3.984179,0.774041,0.980281,0.991505,0.995508,97.932784,
99,0.972498,0.954042,0.954038,0.974293,0.989540,4.046809,4.046809,0.752707,0.971515,0.987244,0.992754,95.403007,
100,0.981762,0.970949,0.969825,0.982232,0.992983,4.101476,4.101476,0.772192,0.979851,0.991631,0.995509,97.950993,
101,0.973458,0.956585,0.957708,0.975158,0.988762,4.157416,4.157416,0.750150,0.971559,0.987213,0.993049,95.772139,
102,0.982833,0.971620,0.969301,0.984990,0.993496,4.217542,4.217542,0.771441,0.980214,0.991682,0.995748,98.353704,
103,0.975185,0.957678,0.959912,0.976396,0.990688,4.272623,4.272623,0.752414,0.973292,0.988411,0.993762,96.410578,
